rating,price_usd,ram_gb,storage_gb,card_gb,has_5g,has_nfc,total_sim,cores,clock_speed,battery_capacity,power_charging,primary_camera_mp,total_lens,front_camera_mp,os_version,screen_size,resolution_width,resolution_height,refresh_rate,total_pixels,brand_prestige,hp_Apple,hp_Asus,hp_BLU,hp_Blackview,hp_Cola,hp_Doogee,hp_Duoqin,hp_Gionee,hp_Google,hp_Honor,hp_Huawei,hp_Infinix,hp_Itel,hp_Jio,hp_LG,hp_Lava,hp_LeEco,hp_Leitz,hp_Lenovo,hp_Letv,hp_Lyf,hp_Micromax,hp_Motorola,hp_Nokia,hp_Nothing,hp_Nubia,hp_OPPO,hp_OnePlus,hp_Oppo,hp_Oukitel,hp_POCO,hp_Poco,hp_Realme,hp_Redmi,hp_Samsung,hp_Sharp,hp_Sony,hp_TCL,hp_Tecno,hp_Vertu,hp_Vivo,hp_Xiaomi,hp_ZTE,hp_iQOO,hp_itel,os_Android,os_EMUI,os_Harmony,os_iOS,chip_Bionic,chip_Dimensity,chip_Exynos,chip_Google,chip_Helio,chip_Kirin,chip_Snapdragon,chip_Spreadtrum,chip_Tiger,chip_Unisoc
82.0,211.1,6.0,128.0,1024.0,1,0,2,8,2.2,5000.0,33.0,108.0,2,16.0,13,6.72,1080.0,2400.0,120,2592000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79.0,211.1,8.0,128.0,0.0,1,1,2,8,2.2,5000.0,33.0,50.0,2,8.0,12,6.56,720.0,1612.0,90,1160640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
79.0,275.1333333333333,6.0,128.0,0.0,1,0,2,8,2.6,5000.0,67.0,50.0,3,16.0,12,6.67,1080.0,2400.0,120,2592000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
80.0,188.77777777777777,6.0,128.0,1024.0,1,0,2,8,2.2,5000.0,18.0,50.0,3,16.0,12,6.58,1080.0,2408.0,120,2600640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
80.0,1277.6666666666667,8.0,256.0,0.0,1,1,2,8,3.2,5000.0,45.0,200.0,4,12.0,13,6.8,1440.0,3088.0,120,4446720.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79.0,699.9888888888889,4.0,128.0,0.0,1,1,2,6,3.22,3240.0,30.0,12.0,2,12.0,15,6.1,1170.0,2532.0,60,2962440.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
65.0,111.1,3.0,32.0,0.0,0,0,2,8,2.3,5000.0,10.0,13.0,2,5.0,12,6.51,720.0,1600.0,60,1152000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
86.0,511.1,16.0,256.0,0.0,1,1,2,8,3.2,4700.0,80.0,50.0,3,32.0,13,6.7,1080.0,2412.0,120,2604960.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
86.0,366.65555555555557,8.0,128.0,0.0,1,1,2,8,2.85,5000.0,80.0,50.0,3,16.0,12,6.7,1080.0,2412.0,120,2604960.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72.0,161.1,4.0,64.0,1024.0,0,0,2,8,2.0,5000.0,18.0,50.0,2,8.0,12,6.55,720.0,1612.0,60,1160640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
85.0,444.43333333333334,8.0,128.0,0.0,1,1,2,8,3.2,5000.0,100.0,50.0,3,16.0,13,6.7,1080.0,2412.0,120,2604960.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
85.0,399.9888888888889,8.0,128.0,0.0,1,0,2,8,3.0,4830.0,66.0,64.0,3,32.0,12,6.56,1080.0,2376.0,120,2566080.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
80.0,166.65555555555557,6.0,64.0,1024.0,1,0,2,8,2.2,5000.0,67.0,64.0,3,16.0,11,6.67,1080.0,2400.0,120,2592000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
76.0,198.43333333333334,4.0,128.0,1024.0,1,0,2,8,2.0,5000.0,33.0,48.0,3,13.0,12,6.67,1080.0,2400.0,120,2592000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87.0,477.6666666666667,12.0,256.0,0.0,1,1,2,8,3.2,4800.0,100.0,64.0,3,32.0,13,6.7,1080.0,2400.0,120,2592000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
88.0,347.1,8.0,128.0,0.0,1,1,2,8,2.84,4500.0,30.0,12.0,3,32.0,10,6.5,1080.0,2400.0,120,2592000.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
84.0,244.38888888888889,8.0,128.0,1024.0,1,0,2,8,2.2,5000.0,33.0,64.0,3,16.0,12,6.59,1080.0,2412.0,120,2604960.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
76.0,1444.3333333333333,6.0,128.0,0.0,1,1,2,6,2.3,4323.0,30.0,48.0,3,12.0,16,6.7,1290.0,2796.0,120,3606840.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
83.0,311.1,8.0,128.0,1024.0,1,0,2,8,2.0,4500.0,44.0,64.0,3,50.0,12,6.44,1080.0,2408.0,90,2600640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
80.0,777.7666666666667,8.0,128.0,0.0,1,1,2,8,3.2,4500.0,100.0,50.0,3,16.0,13,6.7,1440.0,3216.0,120,4631040.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
84.0,222.2111111111111,8.0,128.0,1024.0,1,0,2,8,2.2,5000.0,33.0,108.0,2,16.0,13,6.72,1080.0,2400.0,120,2592000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
81.0,233.32222222222222,6.0,128.0,0.0,1,1,2,8,2.4,5000.0,67.0,108.0,3,16.0,13,6.67,1080.0,2400.0,120,2592000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,311.0,8.0,256.0,0.0,1,0,2,8,2.2,4700.0,67.0,64.0,3,50.0,13,6.56,1080.0,2400.0,120,2592000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
73.0,433.3222222222222,4.0,64.0,0.0,0,1,2,6,2.65,3110.0,30.0,12.0,2,12.0,13,6.1,828.0,1792.0,60,1483776.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
85.0,264.3333333333333,6.0,128.0,1024.0,1,0,2,8,2.4,5000.0,25.0,108.0,4,32.0,12,6.7,1080.0,2400.0,120,2592000.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
87.0,444.43333333333334,8.0,128.0,0.0,1,1,2,8,2.9,4500.0,25.0,12.0,3,32.0,11,6.4,1080.0,2340.0,120,2527200.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
87.0,333.22222222222223,8.0,256.0,1024.0,1,1,2,8,2.2,5000.0,66.0,108.0,3,16.0,13,6.67,1080.0,2400.0,120,2592000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
80.0,1022.2111111111111,12.0,256.0,0.0,1,1,2,8,3.0,5000.0,45.0,108.0,4,40.0,12,6.8,1440.0,3080.0,120,4435200.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,366.65555555555557,6.0,128.0,0.0,1,0,2,8,2.36,5200.0,210.0,108.0,4,32.0,12,6.67,1080.0,2460.0,120,2656800.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,316.65555555555557,8.0,256.0,0.0,1,1,2,8,2.4,4500.0,67.0,64.0,2,32.0,13,6.7,1080.0,2412.0,120,2604960.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,244.43333333333334,6.0,128.0,1024.0,1,1,2,8,2.2,5000.0,67.0,108.0,3,16.0,12,6.7,1080.0,2412.0,120,2604960.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,222.2111111111111,6.0,128.0,1024.0,1,0,2,8,2.2,5000.0,67.0,108.0,3,16.0,11,6.67,1080.0,2400.0,120,2592000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87.0,211.1,6.0,128.0,1024.0,1,1,2,8,2.4,5000.0,30.0,108.0,3,32.0,11,6.67,1080.0,2400.0,90,2592000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
85.0,311.1,8.0,256.0,0.0,1,0,2,8,2.6,5000.0,67.0,108.0,3,16.0,13,6.7,1080.0,2412.0,120,2604960.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
80.0,205.54444444444445,8.0,128.0,1024.0,0,0,2,8,2.4,5000.0,44.0,50.0,3,16.0,12,6.58,1080.0,2408.0,90,2600640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
81.0,194.2,6.0,128.0,1024.0,1,1,2,8,2.4,6000.0,25.0,50.0,4,8.0,12,6.6,1080.0,2400.0,120,2592000.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
76.0,132.62222222222223,4.0,64.0,0.0,0,0,2,8,2.4,5000.0,33.0,50.0,4,13.0,11,6.43,1080.0,2400.0,90,2592000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
64.0,99.44444444444444,3.0,32.0,1024.0,0,0,2,8,1.8,5000.0,30.0,50.0,2,5.0,12,6.5,720.0,1600.0,60,1152000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68.0,138.76666666666668,4.0,64.0,0.0,0,0,2,8,2.3,5000.0,10.0,13.0,2,5.0,12,6.51,720.0,1600.0,60,1152000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80.0,477.76666666666665,8.0,128.0,1024.0,1,1,2,8,2.36,5000.0,33.0,108.0,4,32.0,12,6.7,1080.0,2412.0,120,2604960.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79.0,211.1,6.0,128.0,1024.0,1,0,2,8,2.4,5000.0,15.0,50.0,3,13.0,13,6.6,1080.0,2408.0,90,2600640.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
82.0,333.3222222222222,8.0,128.0,0.0,1,1,2,8,3.1,5000.0,120.0,64.0,3,16.0,13,6.78,1080.0,2400.0,120,2592000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
64.0,133.22222222222223,4.0,32.0,0.0,1,0,2,8,2.2,5000.0,18.0,13.0,1,8.0,12,6.5,720.0,1600.0,90,1152000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
83.0,211.1,6.0,128.0,1024.0,1,1,2,8,2.2,5000.0,30.0,50.0,3,16.0,12,6.6,1080.0,2400.0,120,2592000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
74.0,155.54444444444445,4.0,64.0,1024.0,0,0,2,8,2.2,5000.0,33.0,50.0,2,16.0,12,6.4,1080.0,2400.0,90,2592000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
75.0,166.27777777777777,4.0,64.0,1024.0,1,0,2,8,2.4,5000.0,18.0,50.0,3,8.0,12,6.6,1080.0,2408.0,90,2600640.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
82.0,833.3222222222222,6.0,128.0,0.0,1,1,2,6,3.22,4325.0,30.0,12.0,2,12.0,16,6.7,1284.0,2778.0,60,3566952.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
78.0,122.21111111111111,6.0,64.0,0.0,0,0,2,8,2.05,5000.0,33.0,64.0,4,13.0,11,6.43,1080.0,2400.0,60,2592000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
89.0,944.3333333333334,8.0,256.0,0.0,1,1,2,8,3.2,4700.0,45.0,50.0,3,12.0,13,6.6,1080.0,2340.0,120,2527200.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
75.0,116.65555555555555,4.0,64.0,1024.0,0,0,2,8,2.4,5000.0,33.0,50.0,3,16.0,12,6.55,1080.0,2400.0,90,2592000.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
78.0,199.88888888888889,6.0,128.0,0.0,1,1,2,8,2.0,5000.0,67.0,108.0,3,16.0,12,6.67,1080.0,2460.0,120,2656800.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
85.0,333.22222222222223,8.0,128.0,0.0,1,1,2,8,3.2,4600.0,66.0,64.0,3,50.0,13,6.78,1080.0,2400.0,120,2592000.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79.0,205.54444444444445,6.0,128.0,1024.0,0,0,2,8,2.4,5000.0,25.0,50.0,4,8.0,12,6.6,1080.0,2408.0,60,2600640.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
75.0,183.32222222222222,6.0,128.0,1024.0,0,0,2,8,2.0,5000.0,18.0,50.0,2,8.0,12,6.55,720.0,1612.0,60,1160640.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
